Rank,Ticker,Sector,Price,Chg1D%,EdgeScore,Tier,WyckoffPhase,Setup,PricePosition,GEXScale,GEXClass,GammaFlip,PutWall,CallWall,IVRank,IVImplied,VolRatio,PutCall,Change%,EMA21,SMA50,SMA200,DaysToEarnings,Badge,Past5%,EMA9,Gap9%,SetupPass,WhyBullish,HistWin%,HistAvg%,HistExcess%,BacktestN
1,NKE,"Apparel, Accessories & Luxury Goods",36.05,-0.14,13,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,36.5,35,38,66,45.9,1.27,0.56,-0.55,37.47,40.45,50.22,7,DOWNTREND,0.754611515,36.43,-1.043096349,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
2,BKNG,Internet Travel Services,155.9,-5.07,13,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,158.75,155,162.5,60,39.1,1.84,0.88,-5.03,181.46,192.98,184.97,33,DOWNTREND,-9.043173862,172,-9.360465116,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
3,SCHW,Banks Broker,99.5,-0.85,12,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-4,Moderate Negative Gamma,104,102,106,56,30.1,1.25,1.37,-0.79,106.71,106.86,98.17,21,DOWNTREND,-5.382274629,105.33,-5.534985284,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
4,D,Electric Utilities,61.18,-2,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,65,65,65,62,22.7,0.98,0.54,-2.02,64.8,67.9,64.25,36,DOWNTREND,-3.668713588,63.74,-4.016316285,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
5,PEP,Soft Drinks & Snacks,130.18,-0.77,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,132.5,132,133,61,25.3,0.93,0.21,-0.75,135.48,138.45,148.15,14,DOWNTREND,-3.096620515,133.17,-2.245250432,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
6,XLU,Utilities,39.75,-1.92,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,40.25,39,41.5,37,16.5,1.32,2.44,-1.75,,45.94,44.33,,DOWNTREND,-3.799612778,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
7,COF,Financials (Credit Services),196.1,-2.22,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,216.25,197.5,235,35,33.2,1.46,0.72,-2.27,209.06,212.68,207.42,26,DOWNTREND,-3.489344948,205.14,-4.406746612,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
8,CMG,Restaurants,32.72,0.31,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,32.75,31.5,34,27,35.1,1.47,0.44,0.15,35.09,35.09,34.98,34,DOWNTREND,-2.879192639,34.22,-4.38340152,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
9,NVO,Pharmaceuticals,38.17,-3.12,11,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,38.75,38,39.5,2,30.1,1.47,0.91,-2.92,43.78,46.71,46.11,41,DOWNTREND,-8.48717334,42.13,-9.399477807,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
10,ABT,Healthcare (Medical Devices/Pharmaceuticals),103.53,-0.17,10,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,1,Neutral / Transition Zone,105,103,107,66,32.2,1.43,0.32,-0.19,105.54,106.2,105.09,27,NEUTRAL,1.152906693,103.62,-0.086855819,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich); +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200,54.38,1.57,1.05,2600
11,HLT,Hotels & Resorts,307.22,-0.4,10,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,0,Neutral / Transition Zone,305,302.5,307.5,52,27.7,0.95,0.99,-0.4,311.58,319.67,314.18,34,DOWNTREND,0.520236888,307.58,-0.117042721,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +2 IV Rank >= 50 (premium rich); +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
12,GOOGL,Communication Services (Internet/Technology),337.83,-3.8,10,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-3,Neutral / Transition Zone,346.25,345,347.5,32,31.5,1.36,0.53,-3.43,344.79,345.53,337.69,41,DOWNTREND,-1.469944877,347.1,-2.670700086,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
13,XLF,Financials,54.54,-0.46,10,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,55,54.5,55.5,25,16.5,1.3,1.35,-0.29,,50.68,52.78,,DOWNTREND,-2.485249419,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
14,AMZN,Consumer Discretionary (E-commerce/Cloud),249.27,-2.24,10,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-6,Moderate Negative Gamma,251.25,250,252.5,24,29.8,1.31,0.52,-2.2,255.43,256.1,240.42,35,DOWNTREND,1.345747276,254.03,-1.873794434,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
15,SOFI,Financials (Digital Banking),16.55,-3.55,10,A - Strong Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,-2,Neutral / Transition Zone,17.5,16.5,18.5,5,45.8,1.32,0.5,-3.09,17.48,17.72,19.52,33,NEUTRAL,-1.722090261,17.17,-3.61094933,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200,54.38,1.57,1.05,2600
16,MS,Investment Banking & Wealth Management,198.48,-0.86,9,A - Strong Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,-4,Moderate Negative Gamma,205,205,205,63,33,0.92,1,-0.89,209.32,214,193.14,20,[!!] BEAR CONFIRM,-1.990025184,205.72,-3.519346685,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 IV Rank >= 50 (premium rich),54.38,1.57,1.05,2600
17,EOG,Oil & Gas Exploration & Production,141.84,1.66,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,137.5,135,140,58,32.5,0.76,1.6,1.63,145.34,144.39,130.64,42,DOWNTREND,-2.132063755,144.39,-1.76605028,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +2 IV Rank >= 50 (premium rich); +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
18,XLB,Materials,50.28,-0.49,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-7,Moderate Negative Gamma,49.25,48,50.5,54,20.5,0.96,3.12,-0.28,,50.88,49.06,,DOWNTREND,-0.158856235,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +2 IV Rank >= 50 (premium rich); +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
19,INTU,Application Software,286.8,-1.9,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-3,Neutral / Transition Zone,291.25,285,297.5,46,45.5,0.82,1.97,-1.71,323.34,324.36,412.63,56,DOWNTREND,-9.848175274,312.41,-8.197560898,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
20,FE,Electric Utilities,43.65,-2.41,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,0,Neutral / Transition Zone,44.5,43,46,43,19.9,1.03,0.09,-2.41,45.95,47.31,47.48,34,DOWNTREND,-3.812252093,45.43,-3.918115783,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
21,NRG,Utilities (Independent Power),100.72,-1.98,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-1,Neutral / Transition Zone,107.5,105,110,43,46.1,0.9,0.75,-1.61,110.76,121.74,144.19,42,DOWNTREND,-6.202272304,106.6,-5.515947467,TRUE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
22,ADBE,Application Software,240.69,1.02,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-3,Neutral / Transition Zone,250,250,250,41,39.3,0.69,0.69,0.73,258.6,256.58,264.62,76,DOWNTREND,-3.916167665,251.92,-4.45776437,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
23,FDX,Air Freight & Logistics,291.5,-1.5,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-2,Neutral / Transition Zone,305,280,330,39,30.1,1.07,0.66,-1.48,311.31,318.1,296.17,34,DOWNTREND,-3.387246454,304.3,-4.206375288,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
24,HD,Home Improvement Retail,296.72,-2.83,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,-5,Moderate Negative Gamma,305,300,310,39,25.3,1.14,0.71,-2.65,313.31,330.76,341.9,54,DOWNTREND,-1.901014977,305.18,-2.772134478,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
25,XLY,Consumer Disc,110.65,-1.5,9,A - Strong Edge,Mark-down,[MARKDOWN],Bottom 33%,0,Neutral / Transition Zone,111.5,110,113,28,20.2,1.18,3.31,-1.5,,113.55,116.75,,DOWNTREND,0.426574696,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +1 Below SMA200; +1 DOWNTREND confluence badge,54.38,1.57,1.05,2600
26,DIA,Dow Jones Industrial Average Index,514.3,-0.71,9,A - Strong Edge,Distribution,[UPTHRUST] (SOW),Bottom 33%,-10,Extreme Negative Gamma,516.5,517,516,18,13.2,1.25,0.81,-0.74,,478.62,466.79,,[!!] BEAR CONFIRM,-0.178564497,,,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +1 Spot below gamma flip; +2 Volume ratio > 1.2x (capitulation volume),54.38,1.57,1.05,2600
27,SBUX,Restaurants / Specialty Coffee,94.14,-1.02,9,A - Strong Edge,Distribution,[SOW] (Selling on Supply),Bottom 33%,-1,Neutral / Transition Zone,94,91,97,18,27.3,1.21,0.54,-0.99,100.28,104.24,98.3,41,NEUTRAL,-3.287446065,97.33,-3.277509504,FALSE,+2 Capitulation phase (Mark-down/Distribution); +2 Bottom-33% of 52W range; +2 Dealer gamma <= 0 (short/neutral); +2 Volume ratio > 1.2x (capitulation volume); +1 Below SMA200,54.38,1.57,1.05,2600
